14 Derelict Vehicles,Parking Violation
APARTMENT ONLY,Noise Nuisance
Banging/Pounding,Noise Nuisance
Banging/Pounding,Noise Nuisance
Banging/Pounding,Noise Nuisance
Banging/Pounding,Noise Nuisance
Banging/Pounding,Noise Nuisance
Banging/Pounding,Noise Nuisance
Banging/Pounding,Noise Nuisance
Banging/Pounding,Noise Nuisance
Blocked Hydrant,Parking Violation
Blocked Hydrant,Parking Violation
Car/Truck Horn,Noise Nuisance
Double Parked Blocking Traffic,Parking Violation
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Talking,Noise Nuisance
Loud Television,Noise Nuisance
Loud Television,Noise Nuisance
No Access,Parking Violation
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Loud Music/Party,Noise Nuisance
Food poisioning at restaurant,Restaurant Danger
Food poisioning at restaurant,Restaurant Danger
Food poisioning at restaurant,Restaurant Danger
Food poisioning at restaurant,Restaurant Danger
Food poisioning at restaurant,Restaurant Danger
Food poisioning at restaurant,Restaurant Danger
Food poisioning at restaurant,Restaurant Danger
